epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,425.464,1.10296,1.95419,1.13379,1,0.43049,0.81818,0.61413,0.93479,3.11722,1.00258,0.000655556,0.000655556,0.000655556
2,1046.68,1.0492,1.31043,1.13156,0.7554,0.38156,0.59734,0.42632,1.08904,2.53148,1.11565,0.00129604,0.00129604,0.00129604
3,1601.11,1.05121,1.10366,1.13497,0.91911,0.91506,0.94397,0.69301,0.95668,1.23557,1.08351,0.00191013,0.00191013,0.00191013
4,2331.19,1.05307,0.92632,1.13072,0.93019,0.89189,0.95304,0.67956,0.94628,1.16963,1.08946,0.0018812,0.0018812,0.0018812
5,2960.2,0.97349,0.74725,1.09445,0.96304,0.94595,0.98338,0.64883,1.23792,0.98892,1.21875,0.0018416,0.0018416,0.0018416
6,3269.97,0.95227,0.6841,1.09835,0.96868,0.96525,0.98904,0.74349,0.98232,0.70724,1.06639,0.001802,0.001802,0.001802
7,3527.54,0.91911,0.63694,1.07474,0.98062,0.97665,0.99011,0.6788,1.1998,0.68806,1.18514,0.0017624,0.0017624,0.0017624
8,3786.51,0.93649,0.63204,1.08252,0.9303,0.95367,0.98499,0.72514,1.04557,0.70472,1.09109,0.0017228,0.0017228,0.0017228
9,4036.97,0.96015,0.62437,1.08375,0.96147,0.96346,0.99214,0.76731,0.87871,0.6212,1.01795,0.0016832,0.0016832,0.0016832
10,4279.88,0.90876,0.55586,1.06573,0.99113,1,0.99492,0.78577,0.85682,0.50214,0.99077,0.0016436,0.0016436,0.0016436
11,4533.9,0.86405,0.54873,1.0465,0.98098,0.99588,0.99454,0.76879,0.81684,0.47627,0.97753,0.001604,0.001604,0.001604
12,4783.86,0.86694,0.52651,1.03944,0.99874,0.98842,0.99481,0.77642,0.82301,0.49621,0.99197,0.0015644,0.0015644,0.0015644
13,5038.02,0.83745,0.50692,1.02634,0.99607,0.97811,0.99473,0.81186,0.76645,0.47156,0.96806,0.0015248,0.0015248,0.0015248
14,5295.72,0.83114,0.50716,1.04121,0.99955,0.99614,0.995,0.82509,0.69815,0.41831,0.93876,0.0014852,0.0014852,0.0014852
15,5538.1,0.82061,0.48044,1.02879,0.99966,0.98456,0.99489,0.78759,0.8083,0.45349,0.97312,0.0014456,0.0014456,0.0014456
16,5783.6,0.79175,0.47016,1.0128,0.99596,0.99614,0.995,0.80545,0.76228,0.43462,0.95127,0.001406,0.001406,0.001406
17,6031.05,0.79949,0.46609,1.02224,0.99943,1,0.995,0.80007,0.77463,0.41469,0.95095,0.0013664,0.0013664,0.0013664
18,6278.96,0.80424,0.47245,1.01371,0.99113,1,0.99469,0.81391,0.75192,0.41365,0.94458,0.0013268,0.0013268,0.0013268
19,6515.39,0.78361,0.46435,1.00435,1,0.99448,0.995,0.81592,0.73938,0.39552,0.93215,0.0012872,0.0012872,0.0012872
20,6745.76,0.75769,0.44389,1.00506,0.99947,1,0.995,0.81074,0.73904,0.38942,0.9455,0.0012476,0.0012476,0.0012476
